MESSENGER_TEAM	Team
NEW_AFFECT_AUTO_METIN_FARM	Kolejkowanie Metinów (VIP)	SNA
REVIVE_AUTO_TOWN_MESSAGE	Powrót do miasta za: {}
TOOLTIP_MALL_PICKUP	Automatyczne podnoszenie przedmiotów.	SNA
LOGIN_FAILURE_HWID	Nie mo¿esz siê zalogowaæ na tym komputerze!
LOGIN_WRONG_VERSION	Wersja klienta gry jest nieaktualna! U¿yj Patchera.
KEYCHANGE_DONT_SAVE_EXIT	Exit without saving?
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] are not allowed here!
KEYCHANGE_SAVE_EXIT	Save and exit?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	SHIFT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	DOWN
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F11	F11
KEY_F11_LALT	ALT + F11
KEY_F11_LCONTROL	CTRL + F11
KEY_F11_LSHIFT	SHIFT + F11
KEY_F12	F12
KEY_F12_LALT	ALT + F12
KEY_F12_LCONTROL	CTRL + F12
KEY_F12_LSHIFT	SHIFT + F12
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	`
KEY_GRAVE_LALT	ALT + `
KEY_GRAVE_LCONTROL	CTRL + `
KEY_GRAVE_LSHIFT	SHIFT + `
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	LEFT
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	RIGHT
KEY_RETURN	ENTER
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	SPACE
KEY_SUBTRACT	-
KEY_SYSRQ	PRT SCN
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	UP
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	SHIFT + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	SHIFT + Z
TOOLTIP_REST_USABLE_COUNT	Pozosta³e u¿ycia: %d
BATTLE_PASS_QUEST_NAME_01	Pokonaj potwory
BATTLE_PASS_QUEST_NAME_02	Pokonuj Bossy
BATTLE_PASS_QUEST_NAME_03	Pokonuj Kamienie Metin
BATTLE_PASS_QUEST_NAME_04	Ukañczaj Dungeony
BATTLE_PASS_QUEST_NAME_05	Napisz na wo³aj
BATTLE_PASS_QUEST_NAME_06	Ulepsz przedmiot
BATTLE_PASS_QUEST_DESC_01	Pokonaj odpowiedni¹ iloœæ potworów
BATTLE_PASS_QUEST_DESC_02	Nagroda: 2 pkt exp.
BATTLE_PASS_QUEST_DESC_03	Nagroda: 1 pkt exp.
BATTLE_PASS_QUEST_DESC_04	Nagroda: 2 pkt exp.
BATTLE_PASS_QUEST_DESC_05	Napisz odpowiedni¹ iloœæ wiadomoœci na wo³aj
BATTLE_PASS_QUEST_DESC_06	Ulepsz odpowiedni¹ iloœæ przedmiotów
BATTLE_PASS_EXP	Ukoñczono:
NPC_SEARCH	Szukanie NPC
NPC_SEARCH_TEXT	Pojawia siê na nastêpuj¹cych mapach:
MOUNT_SOHAN_MAP_NAME	Góra Sohan
MOUNT_DOYUMHWAN_MAP_NAME	Ognista Ziemia
MOUNT_YONGBI_MAP_NAME	Pustynia Yongbi
TOURNAMENT_ALL_CHARACTER	Wszystkie profesje
NORMAL_EVENT_TIME	Od: |cFFdbffa1%s|r do: |cFFdbffa1%s|r
PVP_EVENT_TIME	Start za: %s
NONE_AFFECT	None Affect
EVENT_COLORFULL_TEXT	|cFF84A5B9%s|h|r
ALL_KINGDOMS	|cFF97AE99Wszystkie królestwa|h|r
RED_KINGDOM	|cFFFBB497Shinsoo|h|r
BLUE_KINGDOM	|cFF8CADDBJinno|h|r
YELLOW_KINGDOM	|cFFFDE696Chunjo|h|r
EVENT_TOOLTIP_TITLE	[%s] Aktywne eventy:
EVENT_TOOLTIP_DOESNT_HAVE_EVENT	Brak eventów w tym dniu.
DOUBLE_BOSS_LOOT_EVENT	Podwójny drop z Bossa
DOUBLE_METIN_LOOT_EVENT	Podwójny drop z Metina
DOUBLE_MISSION_BOOK_EVENT	Double Mission Book Loot
DUNGEON_COOLDOWN_EVENT	Dungeon Cooldown
DUNGEON_CHEST_LOOT_EVENT	Zwiêkszony drop szkat. z Dungeonów
EMPIRE_WAR_EVENT	Wojna królestw (Lv %d - Lv %d)
MOONLIGHT_EVENT	Drop Szkat. Blasku Ksiê¿yca
TOURNAMENT_EVENT	Turniej PvP (%s - Lv %d - Lv %d)
WHELL_OF_FORTUNE_EVENT	Ko³o fortuny
